darija,eng,darija_ar
sir chri tmer,go buy dates,سير شري تمر
sir 3nd jedatk,go to your grandma,سير عند جدتك
sir 3nd khaltek.,go to you aunt,سير عند خلتك.
sir 3nd sa7bk,go to your firend,سير عند صاحبك
sir 3ndk sa7btek.,go to your girlfriend,سير عندك صاحبتك.
sir tbe7er.,go to the beach,سير تبحر.
sir 3nd walidik.,go to your parents,سير عند واليديك.
sir 3nd khalek.,go to you uncle,سير عند خالك.
sir wkkel lfrakh,go feed the bird,سير وكلّ لفراخ
sir 3nd 3emek.,go to your uncle,سير عند عمك.
sir 3nd 3emtek.,go to your aunt,سير عند عمتك.
sir khouk.,go to your brother,سير خوك.
sir khlles l factoura,go pay the bill,سير خلّص ل فاكتورا
sir rjje3 l amana l malliha,go pay back your debts,سير رجع لأمانة المليحة
sir 3nd khtek.,go to you sister,سير عند ختك.
sir w99efou 3nd 7eddou,go stop him,سير وقّفو عند حدّو
sir 3nd jeddek,go to your grandpa,سير عند جدّك
sir de9 3la jiran,go knock on the nighbors,سير دق على جيران
sir lsalon,go to the salon,سير السالون
sir 9eddem lih rassek,go give yourself up,سير قدّم ليه راسّك
sir chri kourssi.,go buy a chair,سير شري كورسي.
sir stafzzou,go provoke him,سير ستافزو
sir 9lb 3la lkra.,go find the ball,سير قلب على الكرا.
sir 9lb 3la khdma.,go find a job,سير قلب على خدمة.
sir 7dder l3rss li t3rdti lih,go to the wedding,سير حدر العرس لي تعرضتي ليه
sir tfa3el m3ahoum.,go interact with them,سير تفاعل معاهوم.
sir 9ad 7altek.,go wear nice,سير قد حالتك.
sir dewech.,go shower,سير دوش.
sir 3n9 khouk.,go to your brother,سير عنق خوك.
sir 3zzi weld 3emek,go pay your respect,سير عزي ولد عمك
sir ched m3ah talamet,go clean the sheets,سير شد معاه التلاميت
sir tkhebba mn chmch,go hide from the sun,سير تخبّا من شمش
sir zid f tol dial toub,go buy sheets,سير زيد ف طول ديال طوب
sir ttekka lik trta7,go rest a bit,سير تكا ليك ترتاح
sir tghedda,go eat lunch,سير تغدا
sir ljerda tmechha,go walk in the garden,سير الجردة تمشّا
sir lsebban,go wash off,سير السبان
sir l7anout.,go to the groceriy shop,سير الحانوت.
sir lso9 jib lkhodra dial ksksou,go buy couscous veggies,سير السوق جيب الخضرا ديال كسكسو
sir chri sbagha,go buy paint,سير شري سباغة
sir tn3ss,go sleep,سير تنعس
sir 7eye7 3lihoum.,go yell at them,سير حيح عليهوم.
sir mse7 dmou3ek,go wipe your tears,سير مسح دموعك
sir 3tared 3la had l7ogra,go object to thsi treatment,سير عترض على هاد الحقوق
sir sed t9abi dial l7it,go fix the holes in your wall,سير سد تقابي ديال الحيت
sir ster rassk,go hide yourself,سير ستر راسك
sir baark lih zyada,go congratulate him,سير باارك ليه زيادة
sir tel 3la 3mamek,go to your uncles,سير تل على عمامك
sir dreb dowra,go wander,سير درب دورا
sir jme3 7wayjek,go pack your clothes,سير جميع حوايجك
sir 9lb 3la chi chari,go find the buyer,سير قلب على شي شاري
sir bi3 had tonobil,go sell you car,سير بيع هاد التونوبيل
sir keffef had jellaba,go buy a jellaba,سير كفف هاد الجلابة
sir 7eyed 3lik zbel,go thank off garbage,سير حيد عليك زبل
sir commander matakoul,go buy food,سير كوماندر ماتاكل
sir t9dda,go buy groceries,سير تقدا
sir tsab9 m3ah,go race with him,سير تسابق معاه
sir l3eb m3a khouk sghir,go  play with young brother,سير العب مع خوك صغير
sir lahih binma salit,go there,سير اللهيه بينما ساليت
sir daawa,go treat,سير دعوة
sir tchri dwa,go buy meds,سير تشري دوا
sir 3nd lfarmassian,go to the pharmacy,سير عند الفرمسيان
sir khoud cridi mn lbanka,go take bank loan,سير خود قرضي من البنكة
sir zidek bimo,go buy cookies,سير زيدك بيمو
sir khchi lmanta f lkwan,go put sheets in the corner,سير خشي لمانتا ف الكوان
sir w9f tsenna.,go wait,سير وقف تسنّا.
sir 9lb 3la chi tri9 jdida,go find new path,سير قلب على شي طريق جديدة
sir bddel 3lik had lbssa,go change you dress,سير بدل عليك هاد البسة
sir sewet f l intikhabat,go vote in the election,سير سوت ف الانتخابات
sir ziyyer 3la limen,go on the right way,سير زيير على ليمن
sir 9ette3 had toub,go get tissue,سير قطّع هاد طوب
sir ferre9 3lihoum l fanid,go give them candies,سير فرّق عليهوم ل فانيد
sir 3tih lcadeau dialou,go give him his gift,سير عطيه الكادو ديالو
sir khebi 7wayjek,go hide your clothes,سير خبي حوايجك
sir tkhezen binma berdat l9adia,go hide yourself,سير تخزن بينما بردات القضية
sir jbd matakoul,go find what to eat,سير جبد ماتاكل
sir sekhen ghdak,go warm up your lunch,سير سخن غداك
sir ghetti khouk,go cover your brother,سير غيتّي خوك
sir teyyeb l dyaf,go cook for the guests,سير تيّب ل دياف
sir twi l7wayj,go make your clothes,سير توي لحوايج
sir tnazl lihoum 3la da3wa,go forgive them,سير تنزل ليهم على دعوة
sir jdded l assurance dialk,go extend your assurance,سير جدد لأسورانس ديالك
sir dwi m3ah,go talk to him,سير دوي معاه
sir khellet l3assir,go mix the juicz,سير خلّط لعصير
sir 7eyedd l7ya,go shave your beard,سير حيدّ لحيا
sir 7essen wejhek,go shave your face,سير حسّن وجهك
sir jib lia 9r3a dial lma,go bring me a bottle of water,سير جيب ليا قرعة ديال الماء
sir dwi m3a l oustad dialk,go speak to your teacher,سير دوي معا ل أستاد ديالك
sir telbou i3awnek,go ask for help,سير تلبو إعاونك
sir 9lb 3la rassek,go look for yourself,سير قلب على راسك
sir rezervi safar dialk,go take a spot for travel,سير ريزيرفي سفر ديالك
sir st9bel diaf,go host the guests,سير استقبل دياف
sir ttowwer l9odorat dialk,go improve your skills,سير الطوور لقدورات ديالك
sir di lghnem ir3a,go elevate cattle,سير دي لغنم إرعا
sir kteb dorossek,go write your lessons,سير كتب دروسك
sir khellet chlada,go make a salade,سير خلّط شلادة
kantsenna fik t daa3ef lik l5elssa bach ntber3ou,I'm waiting for you to double your pay,كانتسنّا فيك ت داعف ليك لخلصّا باش نتبرعو
kantsenna fik t demj had ta9afa flblad,I'm waiting for you to intergrate this culture,كانتسنّا فيك ت دمج هاد تقافة فلبلاد
kantsenna fik t derreb chi fer9a mfedya b7al hadi bach twei 7enat idik,I'm waiting for you to win against a weak team,كانتسنّا فيك ت الدرب شي فرقة مفضية بحال هادي باش توي حناط إيديك
kantsenna fik t stenzef ga3 ljohd li 3endek,I'm waiting for you to do all your effort,كانتسنّا فيك ت ستنزف ڭاع الجهد لي عندك
kantsenna fik t ftared chi faradiya ou tsde9,I'm waiting for you to suppose something,كانتسنّا فيك ت فتارد شي فرضية و تسدق
kantsenna fik t takol chi 7out 5anez,I'm waiting for you to eat spoiled fish,كانتسنّا فيك تاكول شي حوت أنزك
kantsenna fik t t9dda bach nzido ou nmchiw ldourna,I'm waiting for you to shop and go back to house,كانتسنّا فيك ت تقدّا باش نزيدو و نمشيو لدورنا
kantsenna fik t tsabe9 m3aya yallah,I'm waiting for you to race me,كانتسنّا فيك تسابق معايا يالّاه
kantsenna fik t chrrefna ou t7der lchi 7adat dialna,I'm waiting for you to attend to a meeting,كانتسنّا فيك ت شرّفنا و تحضر لشي حدات ديالنا
kantsenna fik t jemmed dak lma ou trej3o glasson,I'm waiting for you to freeze this water,كانتسنّا فيك ت جمّد داك لما و ترجعو ڭلاسّون
kantsenna fik t daawi rassek nta lewel,I'm waiting for you to heal yourself,كانتسنّا فيك ت داوي راسّك نتا لول
kantsenna fik t tbadel maya douk l7wayj,I'm waiting for you to exchange clothes with me,كانتسنّا فيك ت تبادل مايا دوك لحوايج
kantsenna fik t 3ich chi mochkil b7al hada,I'm waiting for you to live a problem like this,كانتسنّا فيك ت عيش شي مشكل بحال هادا
kantsenna fik t taaredni 7it dit lik dkchi dialek,I'm waiting for you to oppose to me for what I did,كانتسنّا فيك تااردني حيت ديت ليك دكشي ديالك
kantsenna fik t de7i bse7tek,I'm waiting for you to sacrifice your life,كانتسنّا فيك ت ديحي بصحتك
kantsenna fik t 5chi dik l7elwa fsakek,I'm waiting for you to put the cake in your bag,كانتسنّا فيك ت 5شي ديك لحلوا فساكك
kantsenna fik t tsennani ze3ma walakin rak machi rajel,I'm waiting for you to wait for me,كانتسنّا فيك تسنّاني زعما و لكن راك ماشي راجل
kantsenna fik t beddel l7ela9 walakin lse9ti fwa7ed,I'm waiting for you to change your barber,كانتسنّا فيك ت بدّل لحالق و لكن لسقتي فواحد
kantsenna fik t bddelni walakin sde9ti rajel dima 5anb9aw s7ab,I'm waiting for you to change your barber,كانتسنّا فيك ت بدّلني و لكن صدقتي راجل ديما خانبقاو سحاب
kantsenna fik testslem,I'm waiting for you to give up,كانتسنّا فيك تستسلم
kantsenna fik t miyyez ma bin had zouj makel,I'm waiting for you to tell of between these two meals,كانتسنّا فيك ت ميّز ما بين هاد زوج ماكل
kantsenna fik t 3len 3la chi 9arar b7al hada,I'm waiting for you to anounce a big decision,كانتسنّا فيك ت علن على شي قرار بحال هادا
kantsenna fik t saal7 mabinnathom,I'm waiting for you to reconciliate between them,كانتسنّا فيك ت سالح مابينّهوم
kantsenna fik t d5el 3lihom b5et byed,I'm waiting for you to reconciliate between them,كانتسنّا فيك ت دخل عليهوم بخت بيد
kantsenna fik t nsse9 mabinathom bach kola wa7ed yfhem dawr dialo,I'm waiting for you to coordinate between them,كانتسنّا فيك ت نسّق مابينهوم باش كولا واحد يفهم دور ديالو
kantsenna fik t dreb chi ne3ssa 5fifa,I'm waiting for you to take a nap,كانتسنّا فيك ت درب شي نعسّا خفيفة
kantsenna fik t l3en lah chi nharta jme3 fmek,I'm waiting for you to shut up,كانتسنّا فيك ت لعين له شي نهارتا جمع فمك
kantsenna fik t teyyeb dik lmakla ziwna dialek,I'm waiting for you to cook good food,كانتسنّا فيك ت تيّب ديك لماكلة زيونا ديالك
kantsenna fik t twi douk l7wayj msia,I'm waiting for you to make your clothes,كانتسنّا فيك ت توي دوك لحوايج مسية
kantsenna fik t tnazl 3la dkchi li kenti baghi,I'm waiting for you to give up,كانتسنّا فيك تنزل على دكشي لي كنتي باغي
kantsenna fik t sou5i chi jomla we7da mofida,I'm waiting for you to formulate a sentence,كانتسنّا فيك ت سوقي شي جملة وحدة مفيدة
kantsenna fik t 5ellet hadouk zouj monadat,I'm waiting for you to mix two sodas,كانتسنّا فيك ت حلّت هادوك زوج منادات
kantsenna fik t 7edd men had lbsala li fik,I'm waiting for you to stop this bullying,كانتسنّا فيك ت حدّ من هاد لبسالة لي فيك
kantsenna fik t t5eli lkelb yle7ssek,I'm waiting for you to let the dog lick you,كانتسنّا فيك ت تحلي لكلب يلحسّك
kantsenna fik t rekkez chwiya 3ada nchre7 lik,I'm waiting for you to focus,كانتسنّا فيك ت ركّز شوية عادا نشرح ليك
kantsenna fik t tsahel m3ah,I'm waiting for you to go easy on him,كانتسنّا فيك تساهل معاه
kantsenna fik t rezervi fchi 2otel btaman zwin,I'm waiting for you to reserve in a hotel,كانتسنّا فيك ت ريزيرفي فشي أوتل بتامان زوين
kantsenna fik t st9bel dak rajel 3endek,I'm waiting for you to invite this man at you,كانتسنّا فيك ت ستقبل داك راجل عندك
kantsenna fik t ttowwer men lcharika dialek,I'm waiting for you to improve your company,كانتسنّا فيك ت الطوّر من لشركة ديالك
kantsenna fik t ra3i liya chi nhar,I'm waiting for you to improve your manufacture,كانتسنّا فيك ت راعي ليا شي نهار
kantsenna fik t ttowwer men lme3mel dialek,I'm waiting for you to improve your company,كانتسنّا فيك ت الطوّر من لمعمل ديالك
kantsenna fik t 5essess lrassek wa7ed lflouss bach thall frassek,I'm waiting for you to spend money on yourself,كانتسنّا فيك ت حسّاسّ لراسّك واحد لفلوس باش تهلّ فراسّك
kantsenna fik t chref 3la chi me3mel b7al hada,I'm waiting for you to suprvise the production,كانتسنّا فيك ت شريف على شي معمل بحال هادا
kantsenna fik t tlachi ga3 l2a7lam dialek,I'm waiting for you to leave all your dreams,كانتسنّا فيك ت تلشي ڭاع لأحلام ديالك
kantsenna fik t d3em dak lme3mel,I'm waiting for you to support,كانتسنّا فيك ت دعم داك لمعمّل
kantsenna fik t tselli bach nzidou,I'm waiting for you to pray,كانتسنّا فيك تسلّي باش نزيدو
kantsenna fik t kateb m3aha 3ada nze5rtou,I'm waiting for you to marry her,كانتسنّا فيك ت كاتب معاها عادا نزحرتو
